-201 6
-115 35
-21 47
253 48
377 43
599 37
641 32
544 26
478 4
79 -12
-275 -33
-243 -15
-185 17
-119 35
-17 39
221 45
351 43
541 34
223 54
304 41
433 28
687 42
650 32
553 15
422 0
-110 -21
-249 -14
-196 18
-126 24
-39 27
179 46
272 44
466 46
736 46
627 31
533 14
416 0
4 -11
-265 -28
-232 2
-161 19
-92 32
-57 32
168 54
259 44
434 48
615 40
647 37
590 29
425 0
63 -12
-274 -31
-240 -15
-175 20
1 46
238 55
354 46
567 43
660 44
573 25
499 9
589 26
497 3
554 25
484 12
346 -3
203 -12
300 -6
39 -12
-274 -31
-267 -30
-232 1
-163 19
-94 29
89 35
47 45
198 47
290 40
410 30
693 43
654 31
565 16
430 -2
248 -7
70 -14
-299 -30
-244 -12
-182 27
-4 45
145 44
197 49
282 40
367 37
700 41
651 33
529 19
437 -1
247 -4
30 -17
-282 -29
-251 -11
-186 19
-126 31
-19 42
252 51
365 50
601 37
674 37
572 20
445 4
601 23
457 2
567 20
463 2
608 24
508 1
553 20
439 -1
333 -6
149 -13
251 -10
-283 -25
-235 3
-231 3
-152 19
-74 36
117 42
187 47
332 49
461 31
749 44
621 26
485 9
137 -12
213 -7
51 -12
-300 -30
-247 -11
-184 22
-115 40
-9 47
471 33
679 37
619 31
541 24
404 0
515 18
375 -5
253 -6
79 -10
-270 -28
-254 -3
-217 8
-134 27
-43 37
-4 52
140 40
213 49
287 38
474 37
696 38
622 29
552 22
402 -3
254 -5
72 -13
-270 -32
-244 -15
-188 18
-117 33
-30 42
244 43
350 41
632 39
661 37
575 20
434 -1
316 -5
116 -17
225 -5
50 -12
-296 -36
-245 -10
-185 22
13 49
-35 38
206 46
279 41
445 33
682 38
637 26
493 11
395 -4
253 -11
262 -8
117 -14
145 -12
-272 -25
-225 7
-215 3
-152 23
-63 40
157 47
232 49
292 37
592 41
695 41
613 27
493 7
89 -20
-260 -12
-208 11
-76 37
133 43
177 49
316 42
435 34
708 39
597 29
567 18
412 -1
298 -7
25 -14
-270 -30
-246 -10
-179 16
-113 34
-26 46
245 44
386 52
621 38
675 41
579 25
472 7
588 26
476 4
582 23
462 5
560 27
492 3
53 -13
-257 -13
-205 11
-66 35
146 44
245 53
341 45
502 34
673 39
572 25
497 8
613 26
490 3
132 -16
222 -13
-270 -21
-232 -1
-129 25
128 43
225 52
356 47
522 39
716 39
601 26
483 13
372 -5
257 -11
314 -7
106 -16
-266 -27
-239 3
-168 24
-81 36
112 42
177 53
274 50
444 43
743 44
646 31
524 18
409 0
560 22
430 -1
311 -4
136 -14
219 -14
-266 -30
-232 0
-219 5
-148 19
-56 44
175 50
221 47
337 43
575 35
647 44
588 25
498 9
80 -17
-260 -16
-209 10
-83 35
115 43
222 55
323 50
503 40
740 40
605 23
527 16
374 -3
289 -8
27 -18
-274 -32
-260 -8
-160 19
-70 35
109 40
179 48
267 43
418 35
673 36
628 29
530 9
222 -16
276 -4
94 -16
-299 -33
-251 -14
-188 22
-123 36
-23 40
245 48
382 47
601 36
642 32
572 25
500 9
591 22
463 0
564 19
439 2
116 -17
136 -14
209 -9
21 -16
-278 -33
-244 -15
-178 18
-120 35
-3 44
92 40
61 43
236 51
323 40
484 34
665 38
586 25
520 12
392 -4
275 -10
295 -7
82 -15
-278 -34
-247 -15
-189 17
-124 31
148 43
239 53
346 43
609 38
660 36
597 23
499 2
572 23
496 10
370 -2
229 -15
279 -8
45 -18
-278 -32
-251 -18
-184 17
-122 34
-16 43
20 42
-25 42
38 51
186 52
232 42
368 39
597 36
672 42
593 23
500 0
563 18
468 -1
310 -3
169 -14
210 -7
-10 -12
-258 -6
-210 8
-118 34
-18 38
254 40
341 38
612 36
654 35
603 24
492 2
550 20
431 -3
320 -9
170 -14
-287 -32
-239 6
-171 24
-91 35
102 45
148 47
236 43
377 41
645 39
688 38
597 23
503 2
551 20
448 5
604 18
471 2
104 -16
140 -16
208 -12
-276 -26
-236 -1
-203 12
-135 17
108 33
183 48
243 41
438 43
650 36
624 32
560 19
408 1
521 13
448 1
558 17
448 -4
657 34
555 19
480 1
87 -15
-220 -28
-265 -10
-186 19
-1 51
120 33
183 48
260 39
409 45
753 46
658 29
564 21
410 -4
289 -11
-271 -31
-241 -4
-205 6
-121 35
-27 45
297 44
433 46
658 38
666 32
542 19
414 -1
301 -5
100 -18
219 -8
-60 -19
-280 -21
-226 3
-215 10
-159 21
-83 32
-42 33
169 47
260 37
470 44
646 36
676 30
541 16
393 -1
288 -3
43 -17
-276 -29
-245 -7
-220 6
-211 8
-112 34
-17 44
266 37
394 32
617 38
646 35
541 21
446 -3
311 -7
90 -15
-245 -28
-244 -11
-187 17
-126 34
-27 37
236 46
304 36
566 37
714 42
631 27
485 7
105 -16
198 -15
222 -7
60 -13
-273 -33
-260 -14
-188 22
-113 39
-20 50
30 42
-20 43
228 37
359 42
643 42
695 36
576 22
474 0
544 21
467 0
45 -17
-272 -17
-218 10
-64 35
134 37
221 44
323 38
477 31
713 42
637 24
525 1
601 20
501 1
584 24
508 14
391 -6
198 -15
280 -9
30 -15
-280 -27
-239 -14
-183 18
-120 35
-30 45
26 40
173 53
268 49
406 45
607 37
658 34
555 23
485 4
601 26
467 5
94 -12
-242 -20
-245 -3
-212 12
-166 23
33 48
183 49
282 44
431 41
693 48
631 39
572 26
407 -3
301 0
-281 -28
-242 -6
-147~ 26
-66 48
135 51
208 50
293 46
96 40
53 45
242 58
334 48
499 37
695 43
637 32
535 22
398 -2
269 -10
271 -7
96 -15
-274 -32
-242 -15
-186 19
-127 38
156 47
258 56
354 47
582 39
672 36
584 29
525 8
608 27
501 2
112 -16
226 -13
228 -10
-269 -33
-233 2
-229 9
-159 26
-72 35
142 43
185 47
282 46
406 31
728 44
632 31
527 24
389 -3
262 -8
82 -12
-281 -27
-252 -5
-214 12
-157 27
-85 35
111 41
148 50
241 45
402 51
560 35
673 33
552 16
474 5
619 23
503 6
44 -18
-275 -23
-242 -9
-207 18
-69 42
132 40
173 52
46 42
-8 55
138 52
203 55
288 48
398 40
726 51
649 39
539 27
426 5
520 27
411 2
-32 -12
-260 -16
-211 12
-91 39
77 55
21 49
156 45
280 56
359 40
132 50
216 53
297 44
505 40
717 50
605 28
474 10
384 5
533 8
156 -6
-251 -24
-242 -9
-210 9
-137 27
120 51
170 53
249 46
340 38
662 40
677 42
582 22
438 2
599 32
485 8
571 20
465 0
572 26
472 7
48 -12
-284 -21
-243 -13
-179 22
-119 38
-21 52
252 46
351 39
629 39
649 36
565 28
465 10
350 0
496 0
557 25
496 1
592 26
427 -1
293 -9
139 -13
-271 -29
-227 5
-170 27
-89 35
118 50
146 48
233 4.Connected.
Connected.

Disconnected.
